레시피명,재료,재료목록
두가지묵샐러드,"두가지 묵(올방개묵, 검정깨묵) 각 25g씩, 당귀잎 10g
양파 40g, 노란 파프리카 25g, 알배추 20g
소스 : 저염간장 15g, 유자청 30g, 다진청고추 7g, 다진홍고추 7g, 다진대파 7g","['당귀잎', '양파', '알배추', '다진청고추', '두가지묵올방개묵', '다진대파', '다진홍고추', '검정깨묵각씩', '노란파프리카', '유자청']"
블루베리양갱,"흰앙금 100g, 블루베리 30g, 설탕 30g, 한천 20g, 물100g","['블루베리', '설탕', '한천', '흰앙금']"
장어찜,"장어 250g, 우유 100g, 후추 1g
곁들이 샐러드 : 우엉 25g, 인삼 20g, 미나리 20g, 팽이 15g, 양파 40g
샐러드소스 : 청고추 17g, 홍고추 15g, 맛간장 7g","['양파', '팽이', '맛간장', '홍고추', '인삼', '곁들이샐러드우엉', '미나리', '후추', '장어', '우유']"
두부까나페,"단단한 두부 150g, 슬라이스햄 25g, 올리브오일 15g, 로즈마리 1g, 볶은소금 1g
샐러드 : 마요네즈 30g, 당근 20g, 양파 50g, 오이 25g
소스 : 맛간장 15g, 양파 15g, 다진마늘 5g, 후추 0.5g","['당근', '양파', '볶은소금', '오이', '다진마늘', '단단한두부', '로즈마리', '샐러드마요네즈', '올리브오일', '후추', '슬라이스햄']"
두부청국장죽,"청국장가루 20g, 두부 60g, 밥 150g, 표고버섯 12g, 당근 20g, 애호박 25g
양념장 : 다진쇠고기 30g, 참기름 15g, 맛간장 10g, 버섯마늘소금 1g
흰후추 1g, 다진마늘 10g, 다진대파 7g, 흑임자 1g","['두부', '표고버섯', '당근', '맛간장', '버섯마늘소금', '흰후추', '다진마늘', '참기름', '청국장가루', '다진대파', '애호박', '흑임자']"
망고샐러드,"증편 200g, 망고 150g, 양상추 30g, 치커리 20g, 방울토마토 60g, 양파 60g
소스 : 올리브오일 30g, 유자청 15g, 식초 15g, 볶은소금 2g, 후추 1g, 다진 파프리카(노랑) 15g
다진 청피망 15g, 다진 홍피망 15g, 통깨 5g","['양파', '증편', '볶은소금', '다진청피망', '양상추', '통깨', '방울토마토', '망고', '다진파프리카', '후추', '치커리', '유자청', '식초', '다진홍피망']"
토마토젤리,"토마토(120g), 판젤라틴(10g), 레몬(10g), 올리고당(20g)
블루베리(20g), 설탕(20g)","['블루베리', '판젤라틴', '레몬', '올리고당', '설탕', '토마토']"
샌드스테이크,"닭가슴살(120g), 소금(0.1g), 후춧가루(0.02g), 버터(10g)
느타리버섯(20g), 시금치(20g), 굴소스(5g), 올리브오일(10g)
- 카레소스 : 베이컨(20g), 양파(20g), 카레가루(20g), 대파(10g)
생크림(20g), 우유(50g)
- 곁들임 : 어린잎채소(10g)","['베이컨', '양파', '버터', '후춧가루', '대파', '소금', '시금치', '생크림', '어린잎채소', '닭가슴살', '올리브오일', '카레가루', '우유', '느타리버섯']"
맥적구이,"돼지고기(120g), 생강(10g), 소금(0.2g), 후춧가루(0.02g)
저염간장(20g), 정종(10g), 설탕(20g), 대파(10g), 마늘(20g)
양파(20g), 참기름(5g), 통깨(3g), 새송이버섯(20g)
표고버섯(20g), 가지(20g), 홍피망(20g)
- 된장소스 : 된장(10g), 마요네즈(20g), 생크림(10g)
다진 땅콩(20g)","['양파', '홍피망', '된장', '저염간장', '참기름', '생크림', '대파', '표고버섯', '생강', '후춧가루', '가지', '마늘', '돼지고기', '설탕', '다진땅콩', '정종', '통깨', '마요네즈', '소금', '새송이버섯']"
채소어묵,"생선살(100g), 맛술(10g), 생강(10g), 소금(0.2g)
밀가루(20g), 양파(20g),당근(20g), 샐러리(10g), 마늘(10g)
옥수수(20g), 어린이치즈(20g), 튀김기름(400g)","['양파', '당근', '밀가루', '튀김기름', '생강', '어린이치즈', '맛술', '소금', '마늘', '옥수수', '생선살', '샐러리']"
주꾸미보리죽,"주꾸미(100g), 밀가루(10g), 보리(100g)
미나리(10g), 당근(20g), 양파(20g), 참기름(5g)
육수(400g), 저염치즈(20g), 우유(100g), 저염간장(5g)","['당근', '양파', '보리', '밀가루', '저염치즈', '저염간장', '참기름', '육수', '미나리', '우유', '주꾸미']"
오렌지삼겹찜,"삼겹살(100g), 로즈마리(5g)
고구마(30g), 생크림(10g), 감자(20g), 튀김기름(200g)
브로컬리(30g), 올리브오일(10g)
- 소스 : 오렌지(50g), 설탕(10g), 정종(10g), 저염소금(5g)
와사비(5g)","['오렌지', '삼겹살', '튀김기름', '정종', '로즈마리', '와사비', '감자', '설탕', '올리브오일', '생크림', '브로컬리', '고구마', '저염소금']"
소고기볼게살타르,"다진 소고기(100g), 마늘(10g), 양파(20g), 파프리카(20g)
후춧가루(0.02g), 빵가루(10g), 소금(0.3g), 버터(10g)
식용유(5g)
- 소스 : 고구마(20g), 바나나(20g), 마요네즈(20g)
매실액(5g), 게맛살(30g)
- 곁들임채소 : 어린잎(10g), 브로컬리(20g), 미니새송이(20g)","['양파', '버터', '게맛살', '마요네즈', '빵가루', '후춧가루', '식용유', '미니새송이', '마늘', '소금', '매실액', '다진소고기', '어린잎', '파프리카', '브로컬리', '고구마', '바나나']"
수삼떡갈비,"다진소고기(100g), 수삼(50g), 양파(20g), 대파(10g)
마늘(10g), 저염간장(10g), 후춧가루(0.05g), 정종(10g)
찹쌀가루(10g), 새송이(50g), 대추(20g), 통깨(2g)
어린잎(10g)
- 소스 : 저염간장(10g), 올리고당(20g), 설탕(5g), 육수(100g)","['양파', '새송이', '정종', '통깨', '후춧가루', '마늘', '저염간장', '올리고당', '육수', '다진소고기', '어린잎', '설탕', '대파', '수삼', '대추', '찹쌀가루']"
삼색딤섬,"밀가루(200g), 백년초가루(20g), 뽕잎가루(20g)
치자가루(10g), 미나리(20g), 두부(30g), 오징어(30g)
다진 소고기(60g), 양파(20g), 부추(30g), 숙주(30g)
대파(10g), 마늘(10g), 참기름(10g), 후춧가루(0.05g)
통깨(5g)","['두부', '양파', '치자가루', '밀가루', '백년초가루', '뽕잎가루', '오징어', '부추', '후춧가루', '통깨', '마늘', '참기름', '미나리', '다진소고기', '대파', '숙주']"
밥크로켓,"양파(20g), 대파(10g), 당근(20g), 마늘(10g)
식용유(10g), 메추리알(100g), 밥(100g), 소금(0.5g)
밀가루(20g), 녹말가루(10g), 달걀(50g), 빵가루(20g)
튀김기름(400g)
- 소스 : 칠리소스(50g)","['양파', '당근', '밀가루', '튀김기름', '달걀', '빵가루', '식용유', '마늘', '소금', '녹말가루', '대파', '메추리알']"
가지토마토구이,"가지(80g), 올리브오일(10g), 소금(0.5g), 토마토(40g)
모짜렐라치즈(30g)
- 소스 : 토마토소스(20g), 토마토(40g)
- 곁들임 : 팽이버섯(20g), 후춧가루(0.02g)","['모짜렐라치즈', '팽이버섯', '후춧가루', '가지', '소금', '올리브오일', '토마토']"
함박스테이크,"•필수 재료 : 다진 소고기(90g), 다진 돼지고기(90g), 양파(15g), 마늘(7g), 깻잎(3g), 올리브오일(5g), 메추리알(35g)
•숙성 : 소금(0.2g), 후춧가루(0.02g), 달걀(15g), 녹말가루(3g), 빵가루(7g)
•소스 : 마른고추(3g), 대파(5g), 마늘(5g), 와인(15g),저염간장(5g), 올리고당(5g), 설탕(5g), 토마토(5g)","['양파', '와인', '저염간장', '대파', '마른고추', '메추리알', '깻잎', '달걀', '빵가루', '후춧가루', '마늘', '올리고당', '설탕', '녹말가루', '다진돼지고기', '올리브오일', '소금', '다진소고기', '토마토']"
냉파스타,"스파게티(100g), 올리브오일(10g), 소고기(50g)
저염간장(10g), 설탕(10g), 마늘(10g), 깻잎(10g)
양파(20g), 파프리카(20g), 육수(400g), 설탕(10g)
식초(10g), 저염간장(10g)","['양파', '파프리카', '깻잎', '저염간장', '마늘', '육수', '설탕', '소고기', '스파게티', '올리브오일', '식초']"
과일겉절이,"사과(50g), 배(30g), 설탕(10g), 바나나(50g), 키위(30g)
파인애플(30g), 마(50g)
- 양념장 : 마늘(10g), 식용유(5g), 고춧가루(20g), 식초(10g)
저염간장(5g), 설탕(10g)","['사과', '식용유', '고춧가루', '마늘', '저염간장', '파인애플', '설탕', '키위', '식초', '바나나']"
버섯탕수,"새송이버섯(80g), 느타리버섯(50g), 표고버섯(50g)
소금(0.5g), 녹말가루(40g), 달걀(50g), 튀김기름(400g)
키위(20g)
- 소스 : 저염간장(20g), 설탕(20g), 식초(20g)
물녹말(녹말가루 10g, 물 10g), 오이(20g), 양파(20g)
당근(20g), 목이버섯(10g)","['양파', '표고버섯', '당근', '튀김기름', '오이', '달걀', '소금', '저염간장', '식초', '새송이버섯', '설탕', '물녹말녹말가루', '목이버섯', '키위', '녹말가루', '느타리버섯']"
아보카도 연어샐러드,"연어(훈제연어, 120g), 양파(1/2개), 아보카도(1/2개),
파프리카(1/2개), 오렌지(1/2개), 사워크림(20g), 어린잎(20g)","['오렌지', '양파', '연어훈제연어', '아보카도', '사워크림', '어린잎', '파프리카']"
오렌지마리네이드 돼지고기,"돼지고기(150g), 시금치(30g), 양송이버섯(3개),
파프리카(1/4개), 마늘(10g), 오렌지(1/2개), 레몬(1/4개),
머스터드(20g), 꿀(10g), 생크림(20g), 우유(200g),
소금(0.2g), 후추(0.01g), 올리브오일(20g)","['오렌지', '양송이버섯', '레몬', '머스터드', '마늘', '시금치', '돼지고기', '소금', '올리브오일', '후추', '파프리카', '생크림', '우유']"
인삼갈비탕,"소고기(갈비, 300g), 인삼(2뿌리), 당면(50g), 표고버섯(1개),
달걀(1개), 대추(3알), 양파(50g), 파(30g), 마늘(30g),
설탕(10g), 저염간장(20g)","['소고기갈비', '양파', '표고버섯', '대추', '달걀', '인삼', '마늘', '저염간장', '설탕', '당면']"
체리젤리를 곁들인 고구마무스,"체리(50g), 고구마(150g), 화이트 초콜릿(50g), 판젤라틴(1장),
피스타치오(20g), 헤이즐넛(20g), 캐슈넛(20g), 호두(20g),
아몬드(20g), 라즈베리(20g), 건포도(20g), 애플민트(2g)","['헤이즐넛', '판젤라틴', '애플민트', '화이트초콜릿', '호두', '체리', '캐슈넛', '건포도', '라즈베리', '피스타치오', '고구마', '아몬드']"
카레닭 룰라이드,"닭고기(120g), 카레가루(20g), 당근(20g), 양파(20g),
샐러리(1/2개), 아스파라거스(3개), 토마토(50g), 감자(50g),
생크림(30g), 소금(0.1g), 후춧가루(0.01g)","['아스파라거스', '당근', '양파', '후춧가루', '생크림', '소금', '감자', '닭고기', '토마토', '카레가루', '샐러리']"
세 가지곡물콩라미수,"미숫가루(50g), 통조림콩(20g), 검은콩(20g), 바나나(1개),
흑임자(5g), 달걀(1개), 우유(200g), 애플민트(10g),
버터(20g), 설탕(10g)","['버터', '달걀', '미숫가루', '통조림콩', '설탕', '검은콩', '흑임자', '우유', '애플민트', '바나나']"
크림치즈 망고무스,"망고퓨레(50g), 라즈베리(10g), 피스타치오(30g),
크림치즈(50g), 요거트(50g), 생크림(50g), 판젤라틴(1장),
레몬(1/4개), 애플민트(10g), 설탕(20g)","['판젤라틴', '애플민트', '레몬', '망고퓨레', '설탕', '라즈베리', '크림치즈', '피스타치오', '생크림', '요거트']"
토마토주스를곁들인컵토마토,"줄기토마토(3개), 토마토(100g), 오이(50g), 양파(30g),
올리브오일(10g), 설탕(30g)","['양파', '오이', '설탕', '올리브오일', '토마토', '줄기토마토']"
해산물 훈제연어롤,"연어(훈제연어, 120g), 주꾸미(100g), 소라(50g), 완두콩(20g),
샐러리(30g), 파프리카(1/2개), 오이(20g), 당근(20g),
양파(20g), 고추장(20g), 식초(20g), 설탕(20g), 소금(0.3g)","['당근', '완두콩', '양파', '연어훈제연어', '소라', '오이', '고추장', '소금', '식초', '설탕', '파프리카', '샐러리', '주꾸미']"
인절미 무스와 수정과 아이스크림,"홍시(1개), 콩가루(20g), 계피(10g), 생강(20g), 호두(10g),
곶감(2개), 자몽(1/6개), 판젤라틴(1장)","['계피', '곶감', '판젤라틴', '생강', '자몽', '호두', '콩가루', '홍시']"
감닭떡갈비,"재료 : 닭고기(120g), 감자(200g), 양파(50g), 달걀(1개),
마늘(10g), 찹쌀가루(50g), 매실청(5g), 소금(0.3g),
후춧가루(0.5g), 식용유(20g)","['양파', '달걀', '후춧가루', '식용유', '재료닭고기', '마늘', '소금', '감자', '매실청', '찹쌀가루']"
겨자아욱쌈밥,"현미(200g), 두부(100g), 아욱(100g), 날치알(50g),
단호박(1/6개), 새싹(20g), 된장(20g), 생크림(20g),
매실청(20g), 참기름(5g)","['두부', '새싹', '단호박', '된장', '참기름', '매실청', '아욱', '생크림', '현미', '날치알']"
다마고도후,"달걀(1개), 다시마(10g), 요리술(10g), 저염간장(5g),
날치알(20g), 말린 매생이(10g), 무순(2g)","['요리술', '달걀', '다시마', '저염간장', '무순', '말린매생이', '날치알']"
단호박생채,"단호박(1/2개), 부추(30g), 양파(30g), 까나리액젓(20g),
건새우(20g), 다시마(10g), 매실액(20g), 마늘(10g), 배(1/4개),
고춧가루(20g)","['양파', '단호박', '부추', '다시마', '매실액', '마늘', '까나리액젓', '건새우', '고춧가루']"
닭가슴살 스테이크,"닭고기(가슴살, 150g), 토마토(100g), 가지(1개), 치즈(1장),
오레가노(2g), 마늘(20g), 소금(0.2g), 후춧가루(0.01g),
올리브오일(20g)","['오레가노', '치즈', '후춧가루', '가지', '마늘', '소금', '올리브오일', '토마토', '닭고기가슴살']"
마늘드레싱을 곁들인 키위샐러드,"●키위샐러드 : 키위 60g(1개), 방울토마토 100g(10개), 양상추 70g(2장), 아몬드 10g(6알), 땅콩 10g(10알), 무순 약간
●마늘 드레싱 : 사과식초 30g(2큰술), 설탕 15g(1큰술), 물 50ml(1/4컵), 다진 마늘 5g(1작은술)","['양상추', '다진마늘', '사과식초', '방울토마토', '설탕', '키위', '땅콩', '아몬드']"
깻잎향을 입힌 관자 샐러드,"돌나물(10g), 깻잎(3장), 관자(5개) , 식용 꽃(약간) , 올리브유(60g), 석류 원액(3g), 레시틴가루(0.5), 후춧가루(약간)","['석류원액', '깻잎', '올리브유', '레시틴가루', '관자', '돌나물']"
건강그린 샐러드와 고소한 두유드레싱,"●건강그린 샐러드 : 양상추 40g(1장), 치커리 10g(3줄기), 레드치커리 10g(3줄기), 방울토마토 40g(4개), 주황 파프리카 10g(5ⅹ3cm)
●두유 드레싱 : 두유 40g(2⅔큰술), 마요네즈 15g(1큰술), 물엿 3g(2/3작은술), 식초 3g(2/3작은술), 물 15ml(1큰술), 설탕 약간","['두유', '양상추', '마요네즈', '물엿', '레드치커리', '방울토마토', '치커리', '식초', '주황파프리카']"
케일 오미자 샐러드,"케일 샐러드
보라로즈케일 15g(3장), 흰로즈케일 15g(3장), 케일 15g(3장)
오미자 드레싱
오미자물 100g(1/2컵), 요리당 15g(1큰술), 식초 2g(1/2작은술)","['요리당', '케일샐러드', '흰로즈케일', '케일', '오미자물', '식초', '보라로즈케일']"
꼬막 달래 된장 무침,"●주재료 : 꼬막 1000g, 달래 100g(2단), 깻잎 10g(10장), 파프리카 100g(1개)
●소스 : 된장 15g(1큰술), 고추장 5g(1작은술), 사과즙 300g(1/2컵), 참기름 20g(1⅓큰술), 깨 15g(1큰술), 다진 마늘 10g(2작은술)","['깻잎', '다진마늘', '된장', '고추장', '사과즙', '참기름', '파프리카', '꼬막', '달래']"
베이컨 가지 말이,"●주재료 : 가지 150g(1/2개), 베이컨 80g(8장), 홍파프리카 50g(1/2개), 황파프리카 50g(1/2개), 청파프리카 50g(1/2개), 미나리 30g
●소스 : 고추장 5g(1작은술), 와사비 1g(1/3작은술), 고춧가루 2g(1/2작은술), 배 10g(2cm), 양파 2g(1cm), 마늘 1g(1/5개), 올리고당 5g(1작은술), 사과식초 5g(1/2작은술)","['황파프리카', '베이컨', '양파', '청파프리카', '고추장', '가지', '사과식초', '와사비', '마늘', '홍파프리카', '올리고당', '미나리', '고춧가루']"
청국장소스 연어 스테이크,"●주재료 : 마늘종 60g(10개), 연어 200g, 식용유 5g(1/2작은술)
●소스 : 검정깨 5g(1작은술), 청국장가루 5g(1작은술), 마요네즈 20g(4작은술)
●장식 : 대추 5g(1개)","['검정깨', '마요네즈', '식용유', '마늘종', '청국장가루', '대추', '연어']"
두부곤약조림,"재료 곤약(100g), 두부(100g), 가지(20g), 애호박(20g), 꽈리고추(15g)
조림장 감자전분(6g), 저염간장(3g), 물(165g), 다진 마늘(2g)
유자청(10g), 고추기름(10g)","['두부', '고추기름', '조림장감자전분', '다진마늘', '꽈리고추', '가지', '저염간장', '애호박', '재료곤약', '유자청']"
아귀나가사키조림,"재료 미나리(10g), 숙주(10g), 양파(10g), 대파(10g), 청양고추(5g), 붉은 고추(5g)
아스파라거스(5g), 문어(20g), 꽃게(30g), 조개(30g), 전복(30g)
소라(30g), 새우(50g), 아귀(50g), 녹말물(10g)
육수 마늘(7g), 대파(10g), 통후추(5g), 양파(10g), 가다랑어포(5g)","['재료미나리', '양파', '아스파라거스', '전복', '가다랑어포', '녹말물', '조개', '소라', '문어', '육수마늘', '붉은고추', '통후추', '청양고추', '새우', '꽃게', '아귀', '대파', '숙주']"
카레가자미조림,"재료 고구마(10g), 당근(10g), 양파(10g), 파프리카(30g), 양송이버섯(10g)
브로콜리(8g), 가자미(50g), 밀가루(15g), 달걀(30g), 버터(10g)
치킨스톡(200g), 코코넛 밀크(14g), 생크림(16g), 청양고추(2g)
양념 다진 마늘(10g), 토마토페이스트(10g), 카레가루(5g), 강황가루(2g)","['당근', '양파', '양송이버섯', '강황가루', '재료고구마', '밀가루', '버터', '달걀', '카레가루', '치킨스톡', '코코넛밀크', '청양고추', '가자미', '토마토페이스트', '파프리카', '생크림', '브로콜리', '양념다진마늘']"
타콤소스닭조림,"재료 양파(80g), 셀러리(15g), 당근(15g), 사과(30g), 양송이버섯(20g)
새송이버섯(17.5g), 가지(15g), 토마토(125g), 단호박(35g)
브로콜리(25g), 닭가슴살(150g), 닭육수(200g)
닭밑간양념 다진 마늘(4g), 생강(2.5g), 후춧가루(0.3g)
양념 다진 마늘(3g), 월계수잎(1g=2장), 오레가노(0.25g), 바질(0.25g), 파슬리가루(0.1g)","['사과', '바질', '닭육수', '생강', '후춧가루', '가지', '양념다진마늘', '양송이버섯', '오레가노', '재료양파', '브로콜리', '당근', '단호박', '파슬리가루', '셀러리', '새송이버섯', '닭밑간양념다진마늘', '닭가슴살', '토마토', '월계수잎']"
토마토콩조림,"재료 콩(대두, 100g), 양파(50g), 양송이버섯(30g), 토마토(200g)
양념 설탕(4g), 후춧가루(2g), 파슬리가루(2g)","['양파', '양념설탕', '양송이버섯', '재료콩대두', '파슬리가루', '후춧가루', '토마토']"
관자해장국,"재료 풋고추(2g), 붉은 고추(1g), 무(80g), 당근(30g), 양파(50g)
노란 파프리카(30g), 두부(100g)
육수 콩나물(80g), 다시마(7g), 관자(70g), 물(300g)
토마토소스 토마토(200g), 붉은 파프리카(30g), 고춧가루(20g)
발 사믹식초(13g)
양념 다진 마늘(15g)","['당근', '양파', '두부', '붉은고추', '다시마', '재료풋고추', '관자', '붉은파프리카', '발사믹식초', '양념다진마늘', '노란파프리카', '육수콩나물', '고춧가루']"
견과류들깨해장탕,"재료 느타리버섯(20g), 양송이버섯(20g), 표고버섯(20g), 두부(40g)
애호박(40g), 양파(30g), 밤(30g), 호두(10g), 멸치다시마육수(300g)
양념 들기름(10g), 들깻가루(30g)","['두부', '표고버섯', '양송이버섯', '양파', '멸치다시마육수', '호두', '양념들기름', '들깻가루', '애호박', '재료느타리버섯']"
뿌리채소들깨수제비,"재료 다시마(2g), 감자(20g), 연근(20g), 마른 미역(2g)
새알심 찹쌀가루(40g), 물(25g), 소금(0.1g)
양념 들기름(5g), 다진 마늘(15g), 들깻가루(50g), 국간장(5g)","['새알심찹쌀가루', '마른미역', '다진마늘', '연근', '소금', '재료다시마', '감자', '양념들기름', '국간장', '들깻가루']"
대구지리탕,"재료 대구(150g), 미나리(15g), 청양고추(1g), 붉은 고추(1g)
콩나물(25g), 쑥갓(10g)
반죽 쑥가루(10g), 밀가루(20g)
육수 다시마(1g), 북어(15g), 무(30g), 물(500g)
양념 다진 마늘(10g), 다진 생강(3g)","['밀가루', '육수다시마', '다진생강', '붉은고추', '쑥갓', '청양고추', '북어', '미나리', '양념다진마늘', '콩나물', '재료대구', '반죽쑥가루']"
양지해장국,"재료 쇠고기육수(30g)
느타리버섯(10g), 애호박(20g), 청양고추(1g)
대파(10g), 방울토마토(80g), 콩나물(50g)
양념 다진 마늘(8g), 저염국간장(2.5g), 소금(0.5g)","['재료쇠고기육수', '소금', '청양고추', '방울토마토', '저염국간장', '애호박', '콩나물', '대파', '느타리버섯', '양념다진마늘']"
토마토돼지고기해장국,"재료 양파(40g), 청양고추(3g), 토마토(250g)
돼지고기(사태, 60g), 방울토마토(60g)
육수 무(20g), 다시마(3g) 대파(10g), 마른 표고버섯(3g), 양파(30g), 물(400g)
양념 다진 마늘(5g), 바질가루(0.1g), 설탕(2.5g), 후춧가루(0.1g)","['다시마대파', '양파', '후춧가루', '재료양파', '청양고추', '방울토마토', '설탕', '마른표고버섯', '토마토', '돼지고기사태', '바질가루', '육수무', '양념다진마늘']"
효종갱,"재료 배추(20g), 무(10g), 느타리버섯(20g), 표고버섯(20g), 전복(100g)
육수 쇠고기(양지 50g, 갈비 50g), 양파(40g), 마늘(10g), 물(300g)
양념 저염간장(10g)","['갈비', '표고버섯', '양파', '전복', '재료배추', '마늘', '양념저염간장', '느타리버섯', '육수쇠고기양지']"
해물토마토김치찌개,"재료 김치(40g), 토마토(30g), 양파(40g), 오징어(15g), 홍합(20g)
바지락(15g), 주꾸미(25g), 데친 미나리(2g), 쑥갓(5g)
느타리버섯(7g), 팽이버섯(7g), 어슷 썬 풋고추(1g)
김치주머니 소 새우(15g), 부추(3g), 불린 당면(7g)
불린 무말랭이(3g), 녹말가루(5g), 달걀(23g)","['양파', '어슷썬풋고추', '불린당면', '재료김치', '오징어', '홍합', '바지락', '팽이버섯', '부추', '불린무말랭이', '달걀', '쑥갓', '데친미나리', '토마토', '김치주머니소새우', '녹말가루', '느타리버섯', '주꾸미']"
버섯 두유 소스 볶음,"버섯볶음
새송이버섯 100g(3개), 올리브유 10g(2작은술)
두유 소스
두유 20g(1⅓큰술), 생크림 10g(2작은술), 청양고추 5g(1/2개), 후추 약간
곁들임
새싹채소 20g","['두유', '올리브유', '버섯볶음', '새싹채소', '청양고추', '새송이버섯', '곁들임', '생크림']"
백일송이버섯 볶음,"백일송이버섯볶음
백일송이버섯 65g(1컵), 노랑 파프리카 5g(5×1cm), 빨강 파프리카 5g(5×1cm), 카놀라유 3g(2/3작은술)","['백일송이버섯', '노랑파프리카', '백일송이버섯볶음', '빨강파프리카', '카놀라유']"
땅콩소스 버섯가지나물,"•필수 재료 : 가지(15g), 새송이버섯(15g), 표고버섯(10g)
•땅콩 소스 : 땅콩가루(5g), 다진마늘(2g), 참기름(2g), 저염간장(1g)","['표고버섯', '다진마늘', '가지', '저염간장', '땅콩가루', '참기름', '새송이버섯']"
유자향의 곤약 냉채,"●곤약냉채 : 실곤약 50g, 오이 30g(3cm), 사과 20g(1/8개), 당근 15g(1/10개), 빨강 파프리카 10g(5ⅹ3cm)
●유자 드레싱 : 유자청 25g(1⅔큰술), 레몬즙 10g(2작은술), 카놀라유 3g(2/3작은술), 흰후추 약간","['사과', '당근', '실곤약', '오이', '빨강파프리카', '카놀라유', '레몬즙', '유자청']"
새우단배추된장국,"재료 마늘(0.3g), 양파(10g), 애호박(20g), 단배추(25g), 대파(5g)
두부(25g), 마른 새우(10g)
육수 무(15g), 멸치(2.5g), 다시마(2.5g), 물(300g)
양념 된장(10g), 표고버섯가루(3g), 날콩가루(10g)","['양파', '두부', '마른새우', '표고버섯가루', '재료마늘', '양념된장', '멸치', '다시마', '애호박', '단배추', '대파', '날콩가루', '육수무']"
검은콩보리된장찌개,"재료 검은콩(30g), 애호박(30g), 양파(20g), 검은콩두부(30g), 표고버섯(5g)
붉은 고추(2g), 청양고추(2g), 대파(5g)
육수 바지락(20g), 멸치(5g), 다시마(1g)
보리된장 보리(20g), 저염된장(20g)","['양파', '표고버섯', '검은콩두부', '재료검은콩', '붉은고추', '멸치', '다시마', '육수바지락', '청양고추', '저염된장', '애호박', '대파', '보리된장보리']"
단호박배추된장국,"•필수재료 : 단호박(20g), 배추(50g), 새송이버섯(10g), 홍고추(1g)
•육수 : 대파(50g), 양파(50g), 물(300g)
•양념 : 된장(1g)","['양파', '홍고추', '단호박', '된장', '새송이버섯', '대파', '배추']"
된장냉국,"재료 가다랑어포(5g), 오이(5g), 깻잎(1g)
육수 무(50g), 다시마(1g), 대파(10g), 물(500g)
된장양념 콩가루(1g), 설탕(1.5g), 식초(2g), 다진 대파(0.5g), 다진 마늘(0.5g)
다진 양파(0.5g), 다진 청양고추(1g), 저염된장(1g), 참기름(3g)","['재료가다랑어포', '오이', '깻잎', '다진마늘', '다시마', '된장양념콩가루', '식초', '다진대파', '다진청양고추', '설탕', '저염된장', '참기름', '다진양파', '대파', '육수무']"
들깨된장육개장,"재료 숙주(30g), 느타리버섯(25g), 양파(25g), 대파(10g)
청양고추(2g), 얼갈이배추(25g)
육수 무(50g), 돼지고기(사태, 25g), 다시마(2g), 청주(1g)
보리새우(3g), 물(300g)
양념장 고춧가루(1g), 들깻가루(5g), 다진 마늘(3g), 된장(10g)","['청주', '양파', '돼지고기사태', '보리새우', '재료숙주', '다시마', '다진마늘', '된장', '육수무', '청양고추', '들깻가루', '대파', '얼갈이배추', '느타리버섯']"
삼색묵냉국,"재료 도토리묵(50g), 메밀묵(50g), 청포묵(50g), 미니양배추(11g), 적양파(5g)
양파(8g), 오이(8g), 래디시(3g), 당근(5g), 아스파라거스(8g), 파프리카(8g)
붉은 고추(2g), 풋고추(2g), 달걀(30g), 목이버섯(3g), 쑥갓(5g)
육수 무(5g), 다시마(5g), 멸치(10g), 대파(5g), 마늘(5g), 생강(5g)
쇠고기(5g), 물(300g)
양념 미소된장(3g), 들깻가루(5g), 참깨(5g), 검은깨(5g)","['양파', '검은깨', '쇠고기', '멸치', '들깻가루', '목이버섯', '미니양배추', '대파', '참깨', '육수무', '오이', '생강', '달걀', '붉은고추', '마늘', '양념미소된장', '청포묵', '아스파라거스', '래디시', '메밀묵', '당근', '적양파', '다시마', '쑥갓', '파프리카', '풋고추', '재료도토리묵']"
샤브된장국,"재료 우삼겹(50g), 깻잎(7.5g), 느타리버섯(20g), 팽이버섯(20g)
쪽파(10g), 송송 썬 청양고추(3g), 송송 썬 붉은 고추(3g)
육수 닭가슴살(50g), 대파(20g), 마늘(10g)
양념 저염된장(5g), 다진 마늘(5g)","['쪽파', '팽이버섯', '깻잎', '송송썬청양고추', '육수닭가슴살', '다진마늘', '송송썬붉은고추', '마늘', '양념저염된장', '재료우삼겹', '대파', '느타리버섯']"
완자된장국,"재료 감자(20g), 애호박(15g), 쪽파(5g), 양파(5g), 부추(2g)
두부(15g), 대파(2g), 고추(5g), 표고버섯(5g), 당면(2g)
숙주(5g), 브로콜리(10g), 다진 돼지고기(35g)
양념 다진 마늘(10g), 녹말가루(5g), 된장(8g), 날콩가루(3g)","['양파', '두부', '표고버섯', '고추', '날콩가루', '쪽파', '다진돼지고기', '부추', '브로콜리', '된장', '재료감자', '애호박', '녹말가루', '대파', '숙주', '당면', '양념다진마늘']"
